image,action
frame_10_1_1789636048029477703,labeled
frame_11_1_1789636050632487779,skipped
frame_12_1_1789636051806755050,labeled
frame_1_1_1789636031356075060,labeled
frame_3_1_1789636034610797506,labeled
frame_5_1_1789636039101605901,labeled
frame_7_1_1789636042620446818,skipped
frame_8_1_1789636045225001431,skipped
frame_9_1_1789636046850500210,skipped
frame_100_1_1789636520226849572,labeled
frame_101_1_1789636521803694042,labeled
frame_102_1_1789636524098613227,labeled
frame_104_1_1789636528997157423,labeled
frame_105_1_1789636530227332669,skipped
frame_106_1_1789636532102574545,labeled
frame_107_1_1789636533979167804,skipped
frame_108_1_1789636535948292547,labeled
frame_109_1_1789636537526591359,labeled
frame_10_1_1789636311830524599,labeled
frame_10_1_1789636346731847914,labeled
frame_110_1_1789636539106430340,skipped
frame_111_1_1789636541687843283,labeled
frame_112_1_1789636544706851602,labeled
frame_113_1_1789636547313525876,skipped
frame_114_1_1789636549243149129,labeled
frame_115_1_1789636551545871738,labeled
frame_116_1_1789636553426582476,skipped
frame_117_1_1789636556029283972,skipped
frame_118_1_1789636558604175113,labeled
frame_119_1_1789636560535544902,skipped
frame_11_1_1789636312994645041,skipped
frame_11_1_1789636349339645202,skipped
frame_120_1_1789636562846232406,labeled
frame_121_1_1789636564727944871,skipped
frame_122_1_1789636567318199724,labeled
frame_123_1_1789636569983070296,labeled
frame_124_1_1789636572282392916,labeled
frame_125_1_1789636574153656913,skipped
frame_126_1_1789636576034861117,labeled
frame_127_1_1789636577988168457,skipped
frame_128_1_1789636579590537518,labeled
frame_129_1_1789636581890508805,labeled
frame_12_1_1789636314166667733,labeled
frame_12_1_1789636351307737402,labeled
frame_130_1_1789636584910313905,labeled
frame_131_1_1789636587495085544,labeled
frame_14_1_1789636355549019250,labeled
frame_15_1_1789636358142903706,labeled
frame_16_1_1789636359352688952,labeled
frame_17_1_1789636362031259899,labeled
frame_18_1_1789636364333430473,skipped
frame_19_1_1789636365630782690,skipped
frame_1_1_1789636293999777820,labeled
frame_1_1_1789636329019877205,labeled
frame_21_1_1789636369806952447,labeled
frame_22_1_1789636372406783959,labeled
frame_24_1_1789636376233852384,labeled
frame_25_1_1789636378535843632,skipped
frame_26_1_1789636380129178264,skipped
frame_28_1_1789636383230889741,labeled
frame_29_1_1789636385538619619,labeled
frame_30_1_1789636387138195940,skipped
frame_31_1_1789636389063750284,skipped
frame_32_1_1789636391361213869,labeled
frame_34_1_1789636394412912902,labeled
frame_35_1_1789636396075305850,labeled
