epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.84207,2.06346,4.1404,1.2208,0.00254,0.76119,0.10144,0.061,1.94284,4.86683,0.9959,0.000631579,0.000631579,0.000631579
2,2.78737,1.61115,2.51746,1.1421,0.00189,0.56716,0.00254,0.00133,1.78411,5.20747,1.07646,0.00128539,0.00128539,0.00128539
3,3.64421,1.61046,2.3079,1.23349,0.05455,0.23881,0.02245,0.01155,1.95837,6.4545,1.12884,0.00192601,0.00192601,0.00192601
4,4.48962,1.57061,1.96824,1.20413,0.33601,0.23881,0.22085,0.11645,2.07172,5.48726,1.1034,0.0019406,0.0019406,0.0019406
5,5.35588,1.52961,1.75384,1.16379,0.80011,0.46269,0.52196,0.30508,1.93926,4.93154,1.06821,0.0019208,0.0019208,0.0019208
6,6.2264,1.57854,1.6475,1.14252,0.9349,0.34328,0.48149,0.29434,1.69692,4.2433,1.13505,0.001901,0.001901,0.001901
7,7.08385,1.44043,1.38685,1.17775,0.94321,0.74377,0.89316,0.47728,1.60813,2.01944,1.08618,0.0018812,0.0018812,0.0018812
8,7.95102,1.46762,1.30315,1.13436,0.88129,0.92537,0.92911,0.52414,1.69721,1.64005,1.10269,0.0018614,0.0018614,0.0018614
9,8.81672,1.56796,1.21665,1.1775,0.87501,0.89552,0.9671,0.52825,1.94888,2.31471,1.10337,0.0018416,0.0018416,0.0018416
10,9.6728,1.47989,1.12062,1.13682,0.91157,0.95522,0.97351,0.53837,1.51557,1.35741,1.05298,0.0018218,0.0018218,0.0018218
11,10.5299,1.3727,1.04706,1.09249,0.90368,0.92537,0.95642,0.53971,1.50762,1.33683,1.02537,0.001802,0.001802,0.001802
12,11.4678,1.33566,0.99051,1.10703,0.86428,0.97015,0.95182,0.53314,1.67907,1.37292,1.05377,0.0017822,0.0017822,0.0017822
13,12.3048,1.34707,0.96743,1.1163,0.98014,0.98507,0.98275,0.5454,1.65069,1.20203,1.02968,0.0017624,0.0017624,0.0017624
14,13.1538,1.33046,0.89021,1.05723,0.92735,0.95257,0.96919,0.54193,1.71659,1.18309,1.0633,0.0017426,0.0017426,0.0017426
