epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9279,1.80085,3.32653,1.15753,0.00284,0.85075,0.48469,0.25352,1.72382,4.85791,0.95467,0.00036,0.00036,0.00036
2,90.8959,1.4679,2.20848,1.06679,1,0.07659,0.09191,0.06746,1.72927,4.97698,0.98064,0.000732674,0.000732674,0.000732674
3,135.007,1.50038,2.19303,1.10151,1,0.05887,0.10511,0.0591,1.58607,4.64051,0.98818,0.00109782,0.00109782,0.00109782
4,180.103,1.60305,2.1475,1.17782,1,0.21525,0.5367,0.30282,1.66587,3.94714,1.06965,0.00145545,0.00145545,0.00145545
5,225.829,1.4786,1.69475,1.18405,0.01113,0.35821,0.0135,0.00647,1.85623,15.0652,1.11234,0.00180555,0.00180555,0.00180555
6,270.149,1.42151,1.5954,1.23369,0.75212,0.77612,0.85334,0.36643,1.769,2.53707,1.1935,0.001901,0.001901,0.001901
7,302.729,1.42052,1.47348,1.19785,0.88632,0.91045,0.93883,0.49731,1.63512,1.82261,1.13718,0.0018812,0.0018812,0.0018812
8,329.544,1.44815,1.32683,1.1859,0.7724,0.91045,0.90244,0.46569,1.79455,1.86188,1.13286,0.0018614,0.0018614,0.0018614
9,356.461,1.39295,1.20995,1.18243,0.84802,0.83582,0.92474,0.51114,1.52238,1.71871,1.10878,0.0018416,0.0018416,0.0018416
10,383.323,1.38943,1.11113,1.16361,0.92775,0.95825,0.9804,0.53604,1.62339,1.40806,1.08434,0.0018218,0.0018218,0.0018218
11,410.585,1.37529,1.07201,1.14873,0.87046,0.90267,0.95429,0.53359,1.61831,1.36805,1.09469,0.001802,0.001802,0.001802
12,437.486,1.32438,0.96346,1.10106,0.93776,0.9403,0.95939,0.54091,1.48129,1.2369,1.06004,0.0017822,0.0017822,0.0017822
13,464.349,1.301,0.93589,1.10023,0.87545,0.89552,0.92863,0.51487,1.63523,1.42132,1.09214,0.0017624,0.0017624,0.0017624
14,492.878,1.28321,0.88586,1.09504,0.85105,0.85283,0.87876,0.47472,1.81273,1.24862,1.11552,0.0017426,0.0017426,0.0017426
15,521.4,1.2992,0.85301,1.1021,0.85273,0.89552,0.90966,0.50916,1.57359,1.05645,1.05425,0.0017228,0.0017228,0.0017228
16,549.243,1.23613,0.81817,1.09608,0.93365,0.8806,0.93407,0.51202,1.72643,1.09409,1.07131,0.001703,0.001703,0.001703
17,575.149,1.33225,0.82589,1.11679,0.76483,0.58251,0.75588,0.47519,1.61332,2.27195,1.02913,0.0016832,0.0016832,0.0016832
18,602.424,1.21695,0.79744,1.08001,0.93887,0.91706,0.97713,0.57666,1.54943,1.15787,1.01164,0.0016634,0.0016634,0.0016634
19,629.276,1.23522,0.74481,1.08879,0.98505,0.98364,0.9879,0.58112,1.60162,0.95125,1.05447,0.0016436,0.0016436,0.0016436
20,656.008,1.21143,0.72462,1.06422,0.96599,0.97015,0.98137,0.59813,1.44588,0.93006,1.02105,0.0016238,0.0016238,0.0016238
21,682.581,1.2503,0.75362,1.07915,0.95825,0.95522,0.97838,0.56882,1.71928,0.95102,1.05896,0.001604,0.001604,0.001604
22,709.444,1.31732,0.73649,1.07372,0.93395,0.9403,0.96318,0.57603,1.57985,0.87133,1.05937,0.0015842,0.0015842,0.0015842
23,735.986,1.21163,0.75106,1.10208,0.9476,0.9403,0.96853,0.57225,1.60655,0.86573,1.05109,0.0015644,0.0015644,0.0015644
24,762.626,1.23294,0.7349,1.10917,0.96007,0.95522,0.97588,0.563,1.50231,0.87361,1.04302,0.0015446,0.0015446,0.0015446
25,789.666,1.17203,0.669,1.01587,0.97049,0.98163,0.98346,0.59756,1.74354,0.90371,1.05335,0.0015248,0.0015248,0.0015248
26,816.162,1.2059,0.70102,1.07175,0.9849,0.98507,0.9916,0.58436,1.49311,0.86503,1.00493,0.001505,0.001505,0.001505
27,842.672,1.15018,0.67943,1.06905,0.87714,0.86567,0.89092,0.52549,1.63419,0.97414,1.02882,0.0014852,0.0014852,0.0014852
28,869.536,1.18743,0.6599,1.05718,0.92004,0.9403,0.97171,0.57738,1.73712,0.9747,1.04823,0.0014654,0.0014654,0.0014654
29,896.18,1.2061,0.66094,1.07147,0.90971,0.95522,0.97652,0.56649,1.54759,0.87897,1.03137,0.0014456,0.0014456,0.0014456
30,923.112,1.16433,0.64228,1.03526,0.99601,1,0.995,0.62468,1.34145,0.7639,0.98855,0.0014258,0.0014258,0.0014258
31,949.78,1.13945,0.63431,1.04811,0.94972,0.95522,0.96574,0.59535,1.47362,0.81441,0.99836,0.001406,0.001406,0.001406
32,976.558,1.20481,0.63131,1.04744,0.98125,0.98507,0.987,0.58042,1.4291,0.75976,1.01943,0.0013862,0.0013862,0.0013862
33,1003.55,1.15099,0.64564,1.07314,0.96265,0.97015,0.97901,0.6181,1.40699,0.76459,0.98485,0.0013664,0.0013664,0.0013664
34,1030.52,1.13674,0.62068,1.03444,0.96583,0.97015,0.98304,0.61613,1.56237,0.80664,1.00603,0.0013466,0.0013466,0.0013466
35,1056.96,1.10474,0.60714,1.02332,0.90738,0.91045,0.92509,0.55205,1.98542,0.88511,1.09039,0.0013268,0.0013268,0.0013268
36,1083.51,1.13337,0.61927,1.03478,0.96119,0.97015,0.97516,0.63026,1.58719,0.84654,1.00263,0.001307,0.001307,0.001307
37,1110.58,1.10212,0.6151,1.0265,0.97956,0.98507,0.98612,0.66348,1.27952,0.81756,0.95325,0.0012872,0.0012872,0.0012872
38,1137.3,1.0825,0.62883,1.00771,0.96798,0.97015,0.98184,0.63306,1.38194,0.80979,0.98527,0.0012674,0.0012674,0.0012674
39,1163.9,1.03732,0.5799,0.98359,0.95319,0.95522,0.96809,0.65974,1.40884,0.75208,0.98521,0.0012476,0.0012476,0.0012476
40,1190.46,1.05426,0.58197,1.00658,0.93972,0.9403,0.96532,0.59004,1.61257,0.85256,1.01847,0.0012278,0.0012278,0.0012278
41,1217.22,1.05841,0.58392,0.99968,0.93751,0.9403,0.96885,0.66659,1.37195,0.67968,0.97909,0.001208,0.001208,0.001208
42,1244.37,1.08663,0.57146,0.99199,0.95257,0.95522,0.97072,0.63383,1.33673,0.77732,1.01029,0.0011882,0.0011882,0.0011882
43,1271.07,1.1104,0.60068,0.99338,0.98326,0.98507,0.98924,0.60636,1.36844,0.71901,0.98946,0.0011684,0.0011684,0.0011684
44,1297.83,1.06386,0.56584,1.01703,0.96738,0.97015,0.97437,0.65964,1.42857,0.75117,0.98811,0.0011486,0.0011486,0.0011486
45,1324.96,1.0424,0.55483,1.00537,0.97033,0.98507,0.98538,0.6007,1.5691,0.88579,1.01319,0.0011288,0.0011288,0.0011288
